Unnamed: 0,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,stalk_height,cap_diameter,class
621,bell,smooth,brown,yes,none,notched,distant,broad,black,tapering,cup,silky,fibrous,orange,orange,universal,brown,none,zone,purple,clustered,paths,13.75032738,19.78480396,poisonous
875,sunken,grooves,gray,yes,creosote,notched,crowded,narrow,green,enlarging,equal,fibrous,fibrous,brown,buff,partial,brown,none,zone,orange,solitary,leaves,9.251979097,8.78047543,poisonous
221,flat,smooth,buff,no,pungent,descending,distant,broad,brown,tapering,bulbous,fibrous,fibrous,brown,yellow,universal,brown,none,large,green,several,meadows,2.961996712,4.027114691,edible
1178,sunken,scaly,gray,yes,pungent,free,crowded,narrow,purple,enlarging,club,fibrous,fibrous,white,yellow,universal,white,none,large,black,abundant,grasses,8.250044578,5.527331579,edible
236,conical,grooves,white,yes,none,free,crowded,broad,yellow,enlarging,cup,smooth,silky,yellow,buff,partial,yellow,none,none,yellow,scattered,meadows,3.68639733,14.02327914,edible
1279,bell,smooth,pink,no,foul,notched,distant,broad,pink,enlarging,rooted,smooth,fibrous,brown,pink,universal,brown,one,zone,black,scattered,leaves,5.291008911,5.436304152,poisonous
539,convex,scaly,green,yes,musty,attached,distant,broad,red,tapering,bulbous,scaly,silky,red,gray,universal,brown,two,large,black,several,woods,11.95186307,9.709388585,edible
1117,conical,grooves,yellow,yes,anise,attached,crowded,narrow,brown,tapering,missing,fibrous,silky,cinnamon,orange,universal,white,one,pendant,purple,scattered,urban,8.79104375,2.959355921,poisonous
857,sunken,smooth,gray,yes,anise,free,distant,broad,yellow,tapering,cup,silky,silky,yellow,pink,universal,brown,two,pendant,orange,solitary,leaves,13.59609835,6.417736868,poisonous
707,sunken,grooves,white,yes,musty,notched,crowded,broad,white,enlarging,cup,silky,fibrous,white,white,partial,brown,one,pendant,orange,numerous,meadows,13.57209131,9.949050947,poisonous
781,sunken,smooth,yellow,yes,almond,attached,distant,narrow,gray,tapering,equal,silky,fibrous,orange,buff,partial,brown,two,evanescent,black,several,paths,8.68800754,12.12569435,poisonous
140,convex,scaly,green,no,musty,attached,distant,broad,green,enlarging,missing,silky,silky,pink,cinnamon,universal,orange,one,zone,yellow,numerous,meadows,8.091160821,9.777055304,poisonous
910,sunken,fibrous,brown,yes,none,notched,crowded,broad,black,tapering,bulbous,smooth,fibrous,pink,gray,universal,orange,none,flaring,yellow,scattered,waste,8.43665118,15.22818002,poisonous
34,bell,fibrous,pink,yes,pungent,descending,crowded,narrow,yellow,enlarging,cup,silky,smooth,gray,yellow,universal,orange,one,cobwebby,buff,solitary,meadows,5.79608432,23.85308782,poisonous
1083,conical,grooves,red,yes,pungent,descending,close,narrow,brown,tapering,rhizomorphs,silky,scaly,orange,cinnamon,partial,orange,two,cobwebby,black,clustered,leaves,11.56649675,1.155584227,edible
50,bell,fibrous,brown,no,pungent,free,crowded,narrow,black,enlarging,bulbous,scaly,smooth,brown,orange,partial,yellow,one,evanescent,buff,clustered,paths,6.200762712,8.899706658,poisonous
552,convex,smooth,green,no,musty,descending,close,narrow,black,tapering,bulbous,smooth,smooth,brown,pink,partial,white,two,zone,green,several,meadows,14.79148759,12.3275941,poisonous
1154,bell,grooves,gray,yes,musty,notched,crowded,broad,chocolate,tapering,bulbous,fibrous,scaly,white,white,universal,brown,two,sheathing,buff,clustered,leaves,3.846000185,22.78812616,poisonous
1198,sunken,smooth,white,no,anise,attached,crowded,broad,black,tapering,bulbous,scaly,scaly,orange,red,partial,brown,two,sheathing,black,solitary,woods,13.21400655,14.54917131,edible
537,flat,smooth,red,no,musty,free,distant,narrow,chocolate,tapering,missing,smooth,smooth,brown,orange,universal,white,two,pendant,yellow,solitary,grasses,3.189081707,8.00677818,poisonous
277,convex,fibrous,red,yes,pungent,descending,close,broad,green,tapering,rhizomorphs,fibrous,silky,red,white,partial,white,two,zone,brown,several,urban,7.865522129,17.76653536,poisonous
109,convex,scaly,gray,no,foul,descending,distant,broad,pink,tapering,club,fibrous,fibrous,orange,cinnamon,universal,white,one,pendant,brown,solitary,meadows,6.947248031,11.18790587,edible
699,conical,fibrous,pink,no,creosote,attached,close,broad,orange,tapering,bulbous,scaly,smooth,orange,gray,partial,white,one,cobwebby,orange,several,urban,10.4250167,5.365537598,poisonous
1279,bell,smooth,pink,no,foul,notched,distant,broad,pink,enlarging,rooted,smooth,fibrous,brown,pink,universal,brown,one,zone,black,scattered,leaves,5.291008911,5.436304152,poisonous
796,convex,smooth,buff,yes,anise,descending,crowded,broad,green,enlarging,cup,fibrous,silky,yellow,orange,partial,brown,none,cobwebby,buff,numerous,meadows,10.57354282,10.3530627,edible
737,conical,smooth,green,no,almond,free,distant,broad,purple,tapering,club,scaly,silky,red,gray,partial,yellow,two,evanescent,yellow,several,meadows,4.594319887,10.14616395,poisonous
20,bell,grooves,yellow,no,foul,notched,distant,broad,buff,tapering,bulbous,smooth,fibrous,brown,red,partial,white,two,zone,orange,abundant,waste,4.85090697,19.44905947,poisonous
497,sunken,fibrous,brown,yes,fishy,descending,distant,narrow,chocolate,enlarging,rhizomorphs,silky,scaly,cinnamon,pink,partial,white,two,none,black,abundant,grasses,10.90581874,10.14136681,poisonous
223,convex,smooth,purple,yes,creosote,notched,close,narrow,yellow,enlarging,club,fibrous,silky,pink,buff,partial,orange,two,sheathing,buff,numerous,urban,8.17381121,4.98892986,edible
810,bell,smooth,red,no,pungent,notched,close,narrow,chocolate,tapering,cup,smooth,scaly,orange,pink,partial,orange,one,sheathing,green,abundant,urban,6.885290136,2.665529994,edible
1043,convex,smooth,purple,yes,none,notched,distant,broad,orange,tapering,equal,smooth,smooth,orange,yellow,universal,brown,none,evanescent,black,solitary,urban,5.960089465,16.62188376,poisonous
94,conical,smooth,purple,yes,spicy,notched,close,narrow,green,enlarging,missing,silky,silky,gray,cinnamon,universal,white,two,flaring,black,clustered,woods,12.49368466,14.55615212,edible
782,bell,scaly,red,no,pungent,free,crowded,broad,chocolate,enlarging,bulbous,scaly,silky,white,yellow,universal,brown,one,evanescent,white,clustered,urban,5.144241129,23.52151013,edible
771,flat,fibrous,white,yes,spicy,free,crowded,broad,purple,tapering,missing,scaly,silky,white,yellow,partial,brown,one,sheathing,green,solitary,waste,12.55968049,17.67990093,poisonous
1275,sunken,scaly,yellow,no,pungent,descending,distant,narrow,orange,enlarging,rooted,fibrous,fibrous,red,red,partial,white,none,zone,white,numerous,leaves,4.746453008,10.76993476,poisonous
764,bell,grooves,pink,no,anise,notched,crowded,broad,green,enlarging,club,scaly,smooth,yellow,brown,partial,yellow,two,flaring,buff,several,leaves,13.95547016,1.825433879,edible
1089,flat,scaly,purple,yes,almond,notched,crowded,narrow,chocolate,enlarging,rooted,fibrous,fibrous,brown,buff,universal,yellow,one,cobwebby,brown,several,woods,4.114954907,10.59747485,poisonous
453,sunken,smooth,pink,yes,anise,attached,distant,narrow,gray,tapering,equal,silky,scaly,white,orange,universal,yellow,one,pendant,green,scattered,waste,12.32821463,23.03972695,edible
965,conical,scaly,red,yes,pungent,free,distant,broad,purple,enlarging,cup,scaly,fibrous,pink,pink,partial,orange,one,large,white,numerous,woods,10.94337594,12.67680922,poisonous
549,conical,grooves,brown,no,foul,free,distant,broad,white,tapering,rooted,smooth,fibrous,buff,gray,partial,yellow,two,large,chocolate,solitary,woods,12.20695208,5.06171479,poisonous
408,bell,scaly,red,yes,creosote,attached,close,broad,gray,tapering,rooted,smooth,scaly,pink,orange,partial,white,two,pendant,green,solitary,meadows,8.338754514,18.57706863,edible
88,conical,grooves,brown,yes,almond,free,crowded,broad,buff,enlarging,bulbous,scaly,scaly,red,cinnamon,universal,orange,two,none,chocolate,several,meadows,10.47571867,3.032814986,poisonous
1195,flat,grooves,brown,no,none,free,close,narrow,chocolate,enlarging,rhizomorphs,silky,fibrous,cinnamon,gray,universal,white,none,sheathing,purple,clustered,woods,9.266367368,22.69864377,edible
884,conical,smooth,gray,no,fishy,notched,close,narrow,pink,enlarging,bulbous,silky,smooth,yellow,red,universal,yellow,one,flaring,chocolate,clustered,leaves,13.08826016,2.217697033,poisonous
1082,conical,scaly,brown,yes,creosote,free,close,broad,orange,tapering,rooted,fibrous,fibrous,cinnamon,white,universal,orange,none,zone,yellow,several,leaves,13.19653224,4.551520821,poisonous
377,conical,fibrous,white,no,fishy,notched,close,broad,yellow,tapering,missing,scaly,smooth,orange,pink,universal,orange,one,sheathing,green,several,leaves,5.336868342,3.060439931,poisonous
553,convex,smooth,yellow,yes,musty,attached,close,narrow,chocolate,tapering,bulbous,silky,smooth,brown,cinnamon,universal,orange,none,sheathing,purple,scattered,paths,9.653288939,17.03369656,poisonous
987,convex,scaly,red,yes,creosote,notched,close,narrow,chocolate,tapering,bulbous,scaly,scaly,yellow,yellow,universal,white,none,cobwebby,brown,abundant,grasses,2.08452127,1.022498782,poisonous
1108,bell,grooves,purple,no,foul,descending,distant,broad,red,tapering,rooted,scaly,fibrous,orange,gray,universal,yellow,one,large,chocolate,several,woods,3.59494407,1.219114444,edible
519,convex,scaly,yellow,yes,foul,notched,close,broad,yellow,enlarging,rhizomorphs,scaly,smooth,brown,gray,universal,orange,one,flaring,green,numerous,urban,10.52019449,22.82613032,poisonous
354,bell,fibrous,purple,no,fishy,attached,crowded,broad,green,tapering,equal,smooth,silky,cinnamon,pink,universal,orange,one,pendant,chocolate,scattered,waste,7.21132375,14.38821417,poisonous
896,bell,smooth,yellow,no,spicy,descending,crowded,narrow,pink,tapering,bulbous,silky,smooth,brown,gray,partial,white,none,cobwebby,chocolate,clustered,leaves,10.11662118,8.804394081,poisonous
1054,conical,smooth,gray,yes,foul,notched,crowded,narrow,red,enlarging,bulbous,silky,fibrous,pink,red,partial,brown,none,evanescent,white,numerous,woods,7.755409651,20.32804706,poisonous
119,sunken,smooth,green,no,musty,free,close,broad,pink,enlarging,cup,silky,fibrous,buff,red,partial,orange,none,pendant,green,clustered,paths,7.328065367,22.48365095,poisonous
177,sunken,smooth,gray,no,almond,attached,close,narrow,red,tapering,cup,silky,smooth,red,pink,partial,orange,two,large,purple,solitary,urban,5.099540654,24.5405289,poisonous
913,convex,fibrous,yellow,yes,none,attached,distant,narrow,black,tapering,equal,smooth,scaly,buff,orange,partial,orange,one,none,purple,clustered,grasses,9.234718315,19.86244626,poisonous
1007,conical,grooves,green,yes,pungent,attached,close,broad,gray,enlarging,rooted,scaly,fibrous,red,white,universal,white,one,cobwebby,yellow,solitary,meadows,13.76703438,3.318182779,poisonous
943,bell,scaly,pink,no,spicy,descending,distant,narrow,green,enlarging,rooted,smooth,smooth,buff,gray,universal,brown,none,large,brown,clustered,urban,8.866764996,20.23022237,edible
532,convex,scaly,brown,yes,fishy,attached,close,broad,white,tapering,bulbous,fibrous,silky,pink,cinnamon,partial,white,one,none,black,abundant,paths,5.865708063,14.53999445,poisonous
1275,sunken,scaly,yellow,no,pungent,descending,distant,narrow,orange,enlarging,rooted,fibrous,fibrous,red,red,partial,white,none,zone,white,numerous,leaves,4.746453008,10.76993476,poisonous
957,conical,smooth,white,no,fishy,notched,distant,broad,gray,enlarging,missing,smooth,scaly,white,yellow,universal,yellow,two,pendant,chocolate,several,urban,9.273152239,6.069182627,edible
181,sunken,fibrous,pink,no,pungent,attached,crowded,narrow,red,tapering,rhizomorphs,silky,silky,brown,pink,partial,white,none,none,white,abundant,paths,4.902938025,7.185115934,poisonous
326,convex,smooth,brown,yes,creosote,free,crowded,broad,orange,tapering,missing,scaly,scaly,buff,red,partial,white,none,cobwebby,green,abundant,leaves,11.43425275,15.67341308,poisonous
280,convex,scaly,brown,no,anise,descending,crowded,narrow,black,enlarging,missing,silky,smooth,gray,yellow,universal,white,one,large,green,abundant,leaves,2.117873141,4.790971331,poisonous
1136,bell,scaly,gray,no,foul,free,distant,narrow,brown,enlarging,cup,smooth,silky,red,orange,partial,brown,none,evanescent,purple,clustered,meadows,12.52477336,21.74272082,edible
549,conical,grooves,brown,no,foul,free,distant,broad,white,tapering,rooted,smooth,fibrous,buff,gray,partial,yellow,two,large,chocolate,solitary,woods,12.20695208,5.06171479,poisonous
547,bell,scaly,gray,no,creosote,notched,crowded,broad,brown,enlarging,equal,smooth,scaly,orange,yellow,partial,white,two,large,orange,numerous,woods,12.35354761,21.23874268,poisonous
82,sunken,smooth,white,yes,almond,notched,close,broad,green,enlarging,rhizomorphs,fibrous,scaly,brown,yellow,universal,yellow,none,none,black,clustered,waste,6.317236869,17.15044149,edible
379,flat,smooth,pink,no,creosote,descending,distant,narrow,brown,enlarging,club,fibrous,silky,orange,pink,universal,white,none,pendant,yellow,abundant,waste,3.088310095,17.66037359,poisonous
518,conical,fibrous,yellow,yes,anise,attached,close,broad,pink,enlarging,rhizomorphs,scaly,scaly,cinnamon,yellow,partial,yellow,none,none,orange,several,urban,7.069809634,22.50459633,edible
582,convex,fibrous,buff,no,fishy,attached,crowded,narrow,pink,tapering,rhizomorphs,fibrous,scaly,buff,orange,universal,orange,one,zone,orange,clustered,leaves,12.45043433,7.509931885,poisonous
632,flat,smooth,yellow,no,almond,notched,close,broad,buff,tapering,cup,smooth,fibrous,yellow,white,universal,yellow,one,pendant,white,several,woods,9.274446608,5.04749188,poisonous
962,bell,grooves,yellow,yes,anise,attached,close,broad,green,enlarging,cup,smooth,silky,pink,buff,partial,white,two,large,brown,numerous,meadows,12.63969008,11.56072757,poisonous
275,sunken,grooves,yellow,yes,almond,notched,close,narrow,yellow,tapering,rhizomorphs,silky,silky,cinnamon,cinnamon,universal,orange,two,flaring,white,clustered,paths,12.93893024,13.38000728,poisonous
1122,conical,fibrous,yellow,yes,fishy,attached,crowded,narrow,black,tapering,bulbous,smooth,fibrous,gray,buff,universal,brown,two,pendant,green,abundant,meadows,9.654492799,7.028738069,poisonous
763,bell,grooves,brown,no,pungent,attached,close,broad,gray,tapering,cup,smooth,smooth,pink,brown,universal,yellow,none,zone,brown,abundant,waste,6.887240201,2.237467945,poisonous
1186,bell,grooves,yellow,yes,foul,free,close,broad,orange,enlarging,cup,silky,smooth,brown,brown,partial,white,two,flaring,chocolate,several,waste,10.39756048,6.470987352,edible
1258,flat,scaly,buff,no,anise,free,close,broad,brown,enlarging,bulbous,fibrous,smooth,pink,cinnamon,partial,orange,none,none,chocolate,abundant,leaves,7.763252722,5.246725931,edible
742,flat,scaly,purple,yes,pungent,notched,close,narrow,chocolate,tapering,rooted,smooth,silky,gray,cinnamon,partial,white,one,pendant,purple,scattered,paths,9.940041773,1.669269212,poisonous
383,bell,smooth,brown,yes,foul,attached,crowded,narrow,orange,enlarging,rooted,scaly,fibrous,buff,buff,universal,brown,one,flaring,chocolate,several,waste,8.831172626,19.32522177,poisonous
1049,sunken,fibrous,green,yes,almond,notched,crowded,broad,brown,tapering,bulbous,smooth,silky,buff,pink,universal,orange,two,none,black,abundant,waste,14.52244636,16.93042313,poisonous
541,bell,scaly,green,yes,anise,free,crowded,broad,purple,tapering,missing,fibrous,fibrous,brown,brown,universal,brown,two,evanescent,green,abundant,leaves,4.122998136,8.212711984,edible
349,conical,fibrous,red,yes,pungent,notched,crowded,broad,brown,tapering,rooted,silky,smooth,cinnamon,gray,universal,white,none,evanescent,chocolate,scattered,leaves,12.46123572,7.148897797,edible
879,flat,grooves,green,no,foul,free,crowded,narrow,gray,tapering,rhizomorphs,fibrous,scaly,yellow,cinnamon,universal,orange,two,zone,black,abundant,urban,11.9389134,16.81894653,poisonous
604,conical,fibrous,gray,no,pungent,notched,distant,broad,brown,tapering,club,fibrous,fibrous,pink,yellow,universal,yellow,one,cobwebby,orange,scattered,waste,3.652121476,15.94621753,poisonous
1046,bell,scaly,white,no,fishy,free,distant,broad,green,enlarging,bulbous,silky,silky,red,red,partial,brown,one,sheathing,yellow,clustered,urban,8.374571417,5.325103766,poisonous
778,sunken,fibrous,gray,yes,musty,free,close,broad,white,tapering,missing,fibrous,silky,white,pink,partial,brown,two,pendant,orange,solitary,grasses,5.747580651,3.144325951,poisonous
466,sunken,smooth,green,no,musty,free,crowded,broad,black,tapering,bulbous,silky,scaly,yellow,yellow,universal,white,two,large,purple,several,urban,14.50668456,2.714967208,poisonous
493,sunken,scaly,pink,yes,almond,notched,crowded,narrow,green,enlarging,bulbous,silky,silky,gray,buff,partial,white,none,none,black,numerous,leaves,9.396125103,14.28811159,poisonous
1197,convex,fibrous,white,no,fishy,attached,close,narrow,yellow,tapering,club,scaly,scaly,white,red,universal,white,none,pendant,yellow,abundant,grasses,14.06735787,9.423829567,poisonous
894,sunken,fibrous,white,yes,none,descending,crowded,broad,black,tapering,club,fibrous,smooth,pink,cinnamon,partial,brown,one,none,green,clustered,meadows,12.1234258,7.118137258,poisonous
385,convex,scaly,green,yes,foul,notched,distant,broad,orange,enlarging,cup,fibrous,silky,cinnamon,buff,partial,yellow,one,none,black,numerous,meadows,6.651160002,12.35073225,edible
138,flat,smooth,yellow,no,anise,descending,distant,narrow,black,enlarging,bulbous,silky,smooth,brown,pink,universal,orange,two,large,purple,several,meadows,2.430328114,18.03550601,poisonous
666,convex,fibrous,brown,yes,pungent,descending,distant,narrow,yellow,tapering,equal,smooth,fibrous,cinnamon,yellow,universal,orange,none,evanescent,black,abundant,meadows,13.60256645,4.7330795,edible
1147,sunken,smooth,buff,no,foul,notched,distant,narrow,orange,tapering,rhizomorphs,fibrous,fibrous,buff,brown,partial,white,none,sheathing,purple,solitary,woods,9.273317565,1.651206029,poisonous
591,flat,smooth,buff,yes,almond,notched,close,narrow,chocolate,enlarging,missing,smooth,silky,buff,white,universal,brown,none,flaring,chocolate,abundant,urban,2.74528288,24.91277013,poisonous
661,conical,grooves,green,no,pungent,free,crowded,broad,brown,enlarging,club,smooth,silky,buff,orange,partial,brown,two,sheathing,purple,several,woods,4.303660237,4.410084482,edible
565,flat,grooves,white,no,spicy,free,distant,narrow,orange,tapering,equal,scaly,smooth,gray,white,universal,brown,two,sheathing,orange,clustered,paths,6.799675289,3.61491004,poisonous
1198,sunken,smooth,white,no,anise,attached,crowded,broad,black,tapering,bulbous,scaly,scaly,orange,red,partial,brown,two,sheathing,black,solitary,woods,13.21400655,14.54917131,edible
602,convex,scaly,green,no,spicy,free,close,narrow,black,enlarging,rooted,fibrous,scaly,cinnamon,orange,partial,white,two,flaring,white,abundant,grasses,12.53097274,24.08579936,poisonous
224,bell,fibrous,buff,yes,fishy,descending,close,narrow,buff,tapering,rhizomorphs,scaly,smooth,white,yellow,universal,orange,none,sheathing,brown,solitary,waste,11.80820486,10.79476087,poisonous
686,conical,scaly,brown,yes,anise,descending,close,narrow,purple,enlarging,equal,fibrous,scaly,red,brown,partial,orange,none,zone,green,clustered,waste,9.163877806,14.42671336,poisonous
588,flat,smooth,green,no,none,attached,distant,broad,orange,tapering,cup,smooth,silky,cinnamon,pink,partial,brown,none,cobwebby,black,clustered,paths,13.32320455,5.539454418,poisonous
1005,sunken,scaly,buff,no,musty,free,distant,narrow,gray,enlarging,cup,fibrous,scaly,white,white,partial,orange,one,zone,orange,solitary,leaves,4.154304736,10.03177191,poisonous
151,conical,fibrous,red,no,almond,descending,crowded,broad,brown,tapering,missing,smooth,scaly,yellow,cinnamon,universal,yellow,one,sheathing,buff,clustered,woods,12.35646,24.14176324,edible
1204,flat,fibrous,yellow,no,musty,free,crowded,narrow,purple,tapering,bulbous,scaly,scaly,gray,yellow,partial,yellow,two,large,buff,several,grasses,8.898135791,3.004207447,poisonous
1153,sunken,fibrous,white,no,pungent,notched,close,narrow,buff,enlarging,cup,fibrous,silky,gray,red,partial,white,two,sheathing,green,abundant,woods,4.882746833,2.723651342,poisonous
534,bell,scaly,brown,no,fishy,free,distant,broad,yellow,enlarging,bulbous,silky,scaly,gray,cinnamon,partial,white,one,evanescent,white,scattered,paths,7.115625805,13.28409789,edible
548,sunken,scaly,purple,no,creosote,attached,close,narrow,pink,enlarging,bulbous,smooth,smooth,red,pink,partial,white,two,zone,purple,solitary,meadows,3.365758295,22.72826261,poisonous
801,bell,scaly,purple,yes,spicy,descending,distant,narrow,black,enlarging,cup,scaly,scaly,cinnamon,buff,partial,brown,none,zone,chocolate,several,paths,9.883697549,15.73854891,poisonous
115,convex,smooth,yellow,yes,foul,attached,distant,broad,black,enlarging,bulbous,silky,scaly,brown,gray,universal,brown,one,sheathing,white,several,grasses,3.754460574,2.902687969,poisonous
1004,convex,grooves,gray,yes,foul,attached,crowded,narrow,red,enlarging,bulbous,scaly,fibrous,pink,orange,universal,white,none,pendant,green,numerous,waste,11.0897172,11.4001218,poisonous
1035,flat,grooves,white,no,foul,descending,distant,narrow,white,tapering,rhizomorphs,silky,silky,brown,pink,partial,brown,none,sheathing,brown,scattered,paths,2.582422761,18.69810722,edible
69,sunken,grooves,red,no,almond,free,distant,broad,white,tapering,bulbous,smooth,fibrous,buff,yellow,partial,orange,one,large,yellow,scattered,urban,14.50809849,14.86651862,edible
779,flat,grooves,white,no,none,attached,close,narrow,chocolate,enlarging,rooted,scaly,scaly,cinnamon,pink,universal,white,none,evanescent,orange,clustered,paths,4.124827511,11.11044356,poisonous
1240,bell,smooth,red,yes,fishy,descending,crowded,broad,green,tapering,rhizomorphs,scaly,fibrous,buff,white,partial,yellow,none,cobwebby,white,clustered,meadows,14.39469234,23.61490422,edible
1167,sunken,scaly,white,no,anise,descending,distant,broad,pink,tapering,cup,smooth,silky,gray,yellow,partial,brown,two,sheathing,chocolate,clustered,waste,14.27617297,5.054982923,poisonous
1105,sunken,grooves,yellow,no,anise,descending,crowded,broad,gray,enlarging,rhizomorphs,silky,smooth,red,white,partial,white,none,pendant,purple,several,waste,6.156391512,22.06014282,poisonous
966,conical,scaly,yellow,yes,spicy,attached,crowded,narrow,buff,enlarging,rhizomorphs,scaly,scaly,orange,orange,universal,yellow,two,evanescent,brown,clustered,urban,5.893480958,13.98929819,edible
1268,sunken,fibrous,buff,yes,none,notched,crowded,narrow,green,tapering,bulbous,scaly,fibrous,orange,buff,universal,white,none,sheathing,orange,scattered,urban,13.49711974,6.120692547,poisonous
669,flat,grooves,white,no,anise,notched,distant,narrow,orange,tapering,cup,fibrous,smooth,white,pink,partial,white,two,evanescent,white,numerous,meadows,14.19418029,19.21616376,poisonous
986,sunken,smooth,red,no,almond,notched,crowded,narrow,white,enlarging,cup,silky,silky,gray,pink,partial,orange,none,evanescent,chocolate,several,paths,14.08844972,18.49616875,poisonous
596,flat,scaly,red,no,musty,descending,crowded,narrow,purple,tapering,club,silky,fibrous,orange,pink,partial,orange,two,large,yellow,abundant,woods,14.29445457,10.98383793,edible
986,sunken,smooth,red,no,almond,notched,crowded,narrow,white,enlarging,cup,silky,silky,gray,pink,partial,orange,none,evanescent,chocolate,several,paths,14.08844972,18.49616875,poisonous
879,flat,grooves,green,no,foul,free,crowded,narrow,gray,tapering,rhizomorphs,fibrous,scaly,yellow,cinnamon,universal,orange,two,zone,black,abundant,urban,11.9389134,16.81894653,poisonous
270,conical,grooves,gray,yes,almond,free,distant,narrow,purple,enlarging,rooted,smooth,silky,white,gray,partial,yellow,one,cobwebby,black,scattered,paths,4.995932189,20.19405437,poisonous
479,conical,grooves,brown,no,fishy,free,distant,broad,green,enlarging,rhizomorphs,fibrous,scaly,buff,red,partial,brown,none,pendant,purple,several,woods,4.76011753,21.8530649,poisonous
724,sunken,smooth,pink,yes,spicy,notched,close,broad,pink,enlarging,equal,silky,smooth,pink,pink,universal,white,two,cobwebby,buff,abundant,paths,11.12024563,20.69663129,poisonous
900,sunken,smooth,gray,yes,musty,free,distant,broad,green,tapering,rooted,silky,silky,pink,buff,partial,brown,none,sheathing,brown,clustered,grasses,8.520962668,22.36879733,poisonous
804,conical,scaly,red,yes,anise,free,distant,narrow,white,enlarging,bulbous,silky,smooth,gray,cinnamon,universal,orange,one,sheathing,white,solitary,paths,13.72335816,12.27943164,poisonous
234,bell,smooth,purple,no,musty,free,close,narrow,chocolate,enlarging,rooted,silky,fibrous,cinnamon,white,partial,yellow,two,cobwebby,green,numerous,woods,6.323799426,11.09701202,edible
29,bell,scaly,pink,yes,pungent,attached,crowded,broad,buff,tapering,rooted,fibrous,silky,buff,buff,universal,yellow,one,evanescent,green,abundant,grasses,14.2951239,13.598769,poisonous
507,conical,scaly,green,no,pungent,descending,distant,broad,pink,tapering,rooted,scaly,scaly,buff,yellow,universal,white,two,none,white,abundant,leaves,7.321437801,13.92591693,poisonous
884,conical,smooth,gray,no,fishy,notched,close,narrow,pink,enlarging,bulbous,silky,smooth,yellow,red,universal,yellow,one,flaring,chocolate,clustered,leaves,13.08826016,2.217697033,poisonous
8,convex,smooth,green,no,foul,free,distant,narrow,black,enlarging,rooted,smooth,silky,gray,orange,partial,brown,one,flaring,brown,numerous,woods,9.920700881,5.543278731,edible
414,bell,grooves,yellow,no,pungent,free,crowded,narrow,chocolate,enlarging,bulbous,smooth,fibrous,cinnamon,red,partial,orange,one,flaring,yellow,scattered,paths,8.640331374,4.036814086,poisonous
720,convex,scaly,gray,yes,none,attached,crowded,narrow,white,enlarging,cup,scaly,smooth,orange,red,partial,yellow,none,pendant,buff,abundant,meadows,12.47934841,12.76646066,poisonous
